title,genre,year,director1,producer1,producer2,runningTime,writer1,writer2,actor1,actor2
Our Man Flint,Sci-Fi,1966,Mann  Daniel (I),David  Saul (I),?,108,Fimberg  Hal,Fimberg  Hal,Cobb  Lee J.,Coburn  James (I)
Extreme Measures,Crime,1996,Apted  Michael,Brigham  Chris,Hurley  Elizabeth (I),118,Barlow  Adam (I),Crawford  Adrian,Grant  Hugh (I),Hackman  Gene
Extreme Measures,Drama,1996,Apted  Michael,Brigham  Chris,Hurley  Elizabeth (I),118,Barlow  Adam (I),Crawford  Adrian,Grant  Hugh (I),Hackman  Gene
Extreme Measures,Mystery,1996,Apted  Michael,Brigham  Chris,Hurley  Elizabeth (I),118,Barlow  Adam (I),Crawford  Adrian,Grant  Hugh (I),Hackman  Gene
Extreme Measures,Thriller,1996,Apted  Michael,Brigham  Chris,Hurley  Elizabeth (I),118,Barlow  Adam (I),Crawford  Adrian,Grant  Hugh (I),Hackman  Gene
Pikkupojat,Comedy,1986,Kokkonen  Ere,Pasanen  Spede,?,84,Pasanen  Spede,?,Loiri  Vesa-Matti,Pasanen  Spede
Yi boh lai beng duk,Comedy,1996,Yau  Herman,Wong  Jing (I),?,98,Chau  Ting,?,Shing  Fui-On,Wan  Yeung-Ming
Yi boh lai beng duk,Crime,1996,Yau  Herman,Wong  Jing (I),?,98,Chau  Ting,?,Shing  Fui-On,Wan  Yeung-Ming
Yi boh lai beng duk,Horror,1996,Yau  Herman,Wong  Jing (I),?,98,Chau  Ting,?,Shing  Fui-On,Wan  Yeung-Ming
Yi boh lai beng duk,Thriller,1996,Yau  Herman,Wong  Jing (I),?,98,Chau  Ting,?,Shing  Fui-On,Wan  Yeung-Ming
The Legend of Zorro,Action,2005,Campbell  Martin (I),Barber  Gary (I),Birnbaum  Roger,129,Elliott  Ted (I),Kurtzman  Alex (II),Alonso  Adrian (I),Mechoso  Julio Oscar
The Legend of Zorro,Adventure,2005,Campbell  Martin (I),Barber  Gary (I),Birnbaum  Roger,129,Elliott  Ted (I),Kurtzman  Alex (II),Alonso  Adrian (I),Mechoso  Julio Oscar
The Legend of Zorro,Western,2005,Campbell  Martin (I),Barber  Gary (I),Birnbaum  Roger,129,Elliott  Ted (I),Kurtzman  Alex (II),Alonso  Adrian (I),Mechoso  Julio Oscar
Sinbad of the Seven Seas,Adventure,1989,Castellari  Enzo G.,Castellari  Enzo G.,Globus  Yoram,93,Carpi  Tito,Castellari  Enzo G.,Ferrigno  Lou,Steiner  John (I)
Sinbad of the Seven Seas,Fantasy,1989,Castellari  Enzo G.,Castellari  Enzo G.,Globus  Yoram,93,Carpi  Tito,Castellari  Enzo G.,Ferrigno  Lou,Steiner  John (I)
Clegg,Crime,1970,Shonteff  Lindsay,Alpert  Herbert S.,Horne  Derek (I),89,Hagleton  Lewis J.,?,Claridge  Norman,Hope  Gary (I)
Clegg,Drama,1970,Shonteff  Lindsay,Alpert  Herbert S.,Horne  Derek (I),89,Hagleton  Lewis J.,?,Claridge  Norman,Hope  Gary (I)
Mean Guns,Action,1997,Pyun  Albert,Bates  Christopher (I),Karnowski  Tom (II),104,Witham  Andrew,?,Halsey  Michael,Ice-T
Mean Guns,Crime,1997,Pyun  Albert,Bates  Christopher (I),Karnowski  Tom (II),104,Witham  Andrew,?,Halsey  Michael,Ice-T
Mean Guns,Thriller,1997,Pyun  Albert,Bates  Christopher (I),Karnowski  Tom (II),104,Witham  Andrew,?,Halsey  Michael,Ice-T
Marrakech Express,Adventure,1989,Salvatores  Gabriele,Minervini  Gianni,?,110,Contarello  Umberto,Mazzacurati  Carlo,Abatantuono  Diego,Bentivoglio  Fabrizio
Marrakech Express,Comedy,1989,Salvatores  Gabriele,Minervini  Gianni,?,110,Contarello  Umberto,Mazzacurati  Carlo,Abatantuono  Diego,Bentivoglio  Fabrizio
Loose Cannons,Action,1990,Clark  Bob (III),Dupont  Ren?,Greisman  Alan,94,Clark  Bob (III),Matheson  Richard (I),Aykroyd  Dan,Cox  Ronny (I)
Loose Cannons,Comedy,1990,Clark  Bob (III),Dupont  Ren?,Greisman  Alan,94,Clark  Bob (III),Matheson  Richard (I),Aykroyd  Dan,Cox  Ronny (I)
Loose Cannons,Crime,1990,Clark  Bob (III),Dupont  Ren?,Greisman  Alan,94,Clark  Bob (III),Matheson  Richard (I),Aykroyd  Dan,Cox  Ronny (I)
Loose Cannons,Thriller,1990,Clark  Bob (III),Dupont  Ren?,Greisman  Alan,94,Clark  Bob (III),Matheson  Richard (I),Aykroyd  Dan,Cox  Ronny (I)
Wan for,Crime,1996,Fok  Clarence Yiu-leung,Shuen  Kimmy,?,91,Cheung  Cho-Yee,?,Chu  Kin-Kwan,Koo  Louis
Silencio asesino,Action,1983,Urquieta  Jos? Luis,Montemayor  Reyes,?,90,Kiev  H?ctor,?,Reynoso  David,?
Silencio asesino,Crime,1983,Urquieta  Jos? Luis,Montemayor  Reyes,?,90,Kiev  H?ctor,?,Reynoso  David,?
Four Christmases,Comedy,2008,Gordon  Seth (I),Barber  Gary (I),Billingsley  Peter (I),88,Allen  Matt (I),Allen  Matt (I),Duvall  Robert,Vaughn  Vince (I)
