title,genre,year,director1,producer1,producer2,runningTime,writer1,writer2,actor1,actor2
Contigo en la distancia,Drama,1991,Guti?rrez Alea  Tom?s,Kuri  Dulce,?,27,Alberto  Eliseo,Garc?a M?rquez  Gabriel (I),Cobo  Roberto,Rey  Bruno (I)
Contigo en la distancia,Short,1991,Guti?rrez Alea  Tom?s,Kuri  Dulce,?,27,Alberto  Eliseo,Garc?a M?rquez  Gabriel (I),Cobo  Roberto,Rey  Bruno (I)
I ragazzi del massacro,Crime,1969,Di Leo  Fernando (I),Longo  Tiziano,Novelli  Armando,92,Di Leo  Fernando (I),Latino  Nino,Capponi  Pier Paolo,Lupi  Renato
I ragazzi del massacro,Drama,1969,Di Leo  Fernando (I),Longo  Tiziano,Novelli  Armando,92,Di Leo  Fernando (I),Latino  Nino,Capponi  Pier Paolo,Lupi  Renato
I ragazzi del massacro,Thriller,1969,Di Leo  Fernando (I),Longo  Tiziano,Novelli  Armando,92,Di Leo  Fernando (I),Latino  Nino,Capponi  Pier Paolo,Lupi  Renato
Knife Jang,Action,1970,Ko  Young Nam (I),Woo  Ki-dong,?,87,Kwon  Ryong,?,Kim  Hui-ra,Nam  Kung-won
A Clockwork Orange,Crime,1971,Kubrick  Stanley,Kubrick  Stanley,Litvinoff  Si,136,Burgess  Anthony (I),Kubrick  Stanley,Bates  Michael (I),Clarke  Warren (I)
A Clockwork Orange,Drama,1971,Kubrick  Stanley,Kubrick  Stanley,Litvinoff  Si,136,Burgess  Anthony (I),Kubrick  Stanley,Bates  Michael (I),Clarke  Warren (I)
A Clockwork Orange,Sci-Fi,1971,Kubrick  Stanley,Kubrick  Stanley,Litvinoff  Si,136,Burgess  Anthony (I),Kubrick  Stanley,Bates  Michael (I),Clarke  Warren (I)
China Sisters,Adult,1979,Spinelli  Anthony (I),Spinelli  Anthony (I),?,78,Spinelli  Anthony (I),?,Leslie  John (I),Wrangler  Jack
Le nuove comiche,Comedy,1994,Parenti  Neri,Altissimi  Bruno,Cecchi Gori  Mario,102,Bencivenni  Alessandro,Benvenuti  Leonardo,Petrucci  Luigi (I),Pozzetto  Renato
Hospital Massacre,Horror,1981,Davidson  Boaz,Globus  Yoram,Golan  Menahem,89,Behm  Marc,Davidson  Boaz,Van Ness  Jon,Williams  John Warner
Hospital Massacre,Thriller,1981,Davidson  Boaz,Globus  Yoram,Golan  Menahem,89,Behm  Marc,Davidson  Boaz,Van Ness  Jon,Williams  John Warner
Die Musterknaben,Comedy,1997,Huettner  Ralf,Aselmann  Dieter Ulrich,Elschot  Reinhold,91,Huettner  Ralf,Raacke  Dominic,Knaup  Herbert,Korittke  Oliver
Die Musterknaben,Crime,1997,Huettner  Ralf,Aselmann  Dieter Ulrich,Elschot  Reinhold,91,Huettner  Ralf,Raacke  Dominic,Knaup  Herbert,Korittke  Oliver
The New Kids,Drama,1985,Cunningham  Sean S.,Cunningham  Sean S.,De Fina  Barbara,86,Gyllenhaal  Stephen,Gyllenhaal  Stephen,Philbin  John (I),Presby  Shannon
The New Kids,Horror,1985,Cunningham  Sean S.,Cunningham  Sean S.,De Fina  Barbara,86,Gyllenhaal  Stephen,Gyllenhaal  Stephen,Philbin  John (I),Presby  Shannon
The New Kids,Thriller,1985,Cunningham  Sean S.,Cunningham  Sean S.,De Fina  Barbara,86,Gyllenhaal  Stephen,Gyllenhaal  Stephen,Philbin  John (I),Presby  Shannon
