movie_id,title,genre0,genre1,year,cast0,cast1,director,writer,runtime,kind,distributors,languages,countries,rating,producer
371746,Iron Man,Action,Adventure,2008,Robert Downey Jr.,Terrence Howard,Jon Favreau,Mark Fergus,126,movie,Concorde Filmverleih,English,USA,7.9,Victoria Alonso
830515,Quantum of Solace,Action,Adventure,2008,Daniel Craig,Olga Kurylenko,Marc Forster,Paul Haggis,106,movie,Alexandra Films,English,UK,6.7,Barbara Broccoli
942385,Tropic Thunder,Action,Comedy,2008,Jeff Kahn,Robert Downey Jr.,Ben Stiller,Justin Theroux,107,movie,Paramount Pictures Entertainment,English,USA,7,Stuart Cornfeld
1046173,G.I. Joe: The Rise of Cobra,Action,Adventure,2009,Adewale Akinnuoye-Agbaje,Christopher Eccleston,Stephen Sommers,Stuart Beattie,118,movie,Paramount Japan,English,USA,5.8,Gary Barber
1119646,The Hangover,Comedy,Comedy,2009,Bradley Cooper,Ed Helms,Todd Phillips,Jon Lucas,100,movie,20th Century Fox,English,USA,7.8,Chris Bender
361748,Inglourious Basterds,Adventure,Drama,2009,Brad Pitt,MÌ©lanie Laurent,Quentin Tarantino,Quentin Tarantino,153,movie,Alliance Films,English,USA,8.3,Lawrence Bender
796366,Star Trek,Action,Adventure,2009,Chris Pine,Zachary Quinto,J.J. Abrams,Roberto Orci,127,movie,Bontonfilm,English,USA,8,J.J. Abrams
936501,Taken,Action,Thriller,2008,Liam Neeson,Maggie Grace,Pierre Morel,Luc Besson,93,movie,EuropaCorp. Distribution,English,France,7.9,Didier Hoarau
1049413,Up,Animation,Adventure,2009,Edward Asner,Christopher Plummer,Pete Docter,Pete Docter,96,movie,Walt Disney Studios Motion Pictures,English,USA,8.3,John Lasseter
458525,X-Men Origins: Wolverine,Action,Adventure,2009,Hugh Jackman,Liev Schreiber,Gavin Hood,David Benioff,107,movie,20th Century Fox Netherlands,English,USA,6.7,Richard Donner
1156398,Zombieland,Adventure,Comedy,2009,Jesse Eisenberg,Woody Harrelson,Ruben Fleischer,Rhett Reese,88,movie,Audio Visual Enterprises,English,USA,7.7,Ryan Kavanaugh
1190080,2012,Action,Adventure,2009,John Cusack,Amanda Peet,Roland Emmerich,Roland Emmerich,158,movie,Audio Visual Enterprises,English,USA,5.8,Aaron Boyd
499549,Avatar,Action,Adventure,2009,Sam Worthington,Zoe Saldana,James Cameron,James Cameron,162,movie,Twentieth Century Fox Film Corporation,English,USA,7.9,Brooke Breton
1323594,Despicable Me,Animation,Comedy,2010,Steve Carell,Jason Segel,Pierre Coffin,Cinco Paul,95,movie,Universal Studios,English,USA,7.7,John Cohen
1375670,Grown Ups,Comedy,Comedy,2010,Adam Sandler,Kevin James,Dennis Dugan,Adam Sandler,102,movie,Audio Visual Enterprises,English,USA,6,Barry Bernardi
892769,How to Train Your Dragon,Animation,Adventure,2010,Jay Baruchel,Gerard Butler,Dean DeBlois,William Davies,98,movie,Paramount Japan,English,USA,8.2,Bonnie Arnold
1375666,Inception,Action,Mystery,2010,Leonardo DiCaprio,Joseph Gordon-Levitt,Christopher Nolan,Christopher Nolan,148,movie,Columbia TriStar Warner Filmes de Portugal,English,USA,8.8,Zakaria Alaoui
1228705,Iron Man 2,Action,Adventure,2010,Robert Downey Jr.,Gwyneth Paltrow,Jon Favreau,Justin Theroux,124,movie,Bontonfilm,English,USA,7,Victoria Alonso
1250777,Kick-Ass,Action,Comedy,2010,Aaron Taylor-Johnson,Garrett M. Brown,Matthew Vaughn,Jane Goldman,117,movie,A-Film Distribution,English,UK,7.7,Adam Bohling
1245526,RED,Action,Comedy,2010,Bruce Willis,Mary-Louise Parker,Robert Schwentke,Jon Hoeber,111,movie,Alfa Films,English,USA,7.1,Lorenzo di Bonaventura
1130884,Shutter Island,Mystery,Thriller,2010,Leonardo DiCaprio,Mark Ruffalo,Martin Scorsese,Laeta Kalogridis,138,movie,Paramount Pictures,English,USA,8.1,Chris Brigham
1104001,TRON: Legacy,Action,Adventure,2010,Jeff Bridges,Garrett Hedlund,Joseph Kosinski,Edward Kitsis,125,movie,Feelgood Entertainment,English,USA,6.8,Sean Bailey
435761,Toy Story 3,Animation,Adventure,2010,Tom Hanks,Tim Allen,Lee Unkrich,John Lasseter,103,movie,Audio Visual Enterprises,English,USA,8.4,Darla K. Anderson
